ID,keyword,year,result_text,Timestamp
1044,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:36:59
1045,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:36:59
1046,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:36:59
1047,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:36:59
1048,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:36:59
1049,ISL News,2024,,2024-04-19 08:36:59
1050,ISL News,2024,Guided Search Filters,2024-04-19 08:36:59
1051,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:36:59
1052,ISL News,2024,More results,2024-04-19 08:36:59
1053,ISL News,2024,,2024-04-19 08:39:42
1054,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:39:42
1055,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:39:42
1056,ISL News,2024,More results,2024-04-19 08:39:42
1057,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:39:42
1058,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:39:42
1059,ISL News,2024,Guided Search Filters,2024-04-19 08:39:42
1060,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:39:42
1061,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:39:42
1062,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:39:42
1063,ISL News,2024,,2024-04-19 08:39:42
1064,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:39:42
1065,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:39:42
1066,ISL News,2024,More results,2024-04-19 08:39:42
1067,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:39:42
1068,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:39:42
1069,ISL News,2024,Guided Search Filters,2024-04-19 08:39:42
1070,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:39:42
1071,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:39:42
1072,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:39:42
1073,ISL News,2024,,2024-04-19 08:39:42
1074,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:39:42
1075,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:39:42
